Bin motorwayMLR motorwayEL motorwayRPROP motorwaySMS trunkMLR trunkEL trunkRPROP trunkSMS primaryMLR primaryEL primaryRPROP primarySMS aMLR aEL aRPROP aSMS bMLR bEL bRPROP bSMS minorMLR minorEL minorRPROP minorSMS
46 1.4 2.41612903225806 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.4 1.4054347826087 2.4 3.41086956521739 4.4 1.40082987551867 2.4 3.4 4.40082987551867
47 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.40165975103734 3.4 4.40248962655602
48 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4
49 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4054347826087 3.4 4.4 1.4 2.4 3.4 4.4
50 1.4 2.41612903225806 3.41612903225806 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.40082987551867 3.4 4.40165975103734
51 1.4 2.4 3.4 4.41612903225807 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.40819672131148 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4
52 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40082987551867
53 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.40819672131148 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.4 3.4 4.4
54 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4054347826087 1.4 2.4 3.4 4.40082987551867
55 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.4 3.4 4.4
56 1.43225806451613 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4
57 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.40819672131148 1.4054347826087 2.4 3.4 4.4 1.4 2.4 3.4 4.40082987551867
58 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4
59 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40819672131148 3.4 4.4 1.4054347826087 2.4054347826087 3.4 4.4 1.4 2.4 3.4 4.4
60 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4
61 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40082987551867 3.4 4.40082987551867
62 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40082987551867 3.4 4.4
63 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4
64 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.41086956521739 4.4 1.4 2.4 3.4 4.40082987551867
65 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40082987551867 3.4 4.4
66 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4054347826087 4.4 1.4 2.4 3.4 4.4
67 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40082987551867 2.4 3.4 4.4
